품목,DART추가후보상장사
기타계측기,"고영, 인텍플러스, 펨트론"
기타건설중장비,"HD건설기계, 볼보그룹코리아, 포스코인터내셔널"
기타산업기계,"에스티아이, 대보마그네틱"
소시지,우양
공기조절기,"SNT에너지, 한텍"
기타철구조물,SK오션플랜트
기타정밀화학제품,"송원산업, 엘티씨, 선진뷰티사이언스"
기타프린터,"빅솔론, 아이디피"
골프용품,골프존
내연기관 트랙터(신차),TYM
도금강판,TCC스틸
제조담배,KT&G
동박,롯데에너지머티리얼즈
D램,SK하이닉스
기타사진영화용재료,"에스앤에스텍, 동진쎄미켐"
면류,"농심, 삼양식품, 오뚜기"
화학원료,"CJ제일제당, 대상, 에스티팜, 하이텍팜"
집적회로 반도체부품,해성디에스
건전지,비츠로셀
일반수술및처치용,"아이센스, 리브스메드, 엠아이텍, 인바디"
미용및조직수복용,"메디톡스, 바이오플러스, 파마리서치, 원텍, 제이시스메디칼, 비올, 클래시스"
밀링공구,와이지-원
기타회로보호용기기,"ISC, 마이크로컨텍솔, 리노공업"
기타유리제품,"비씨엔씨, 원익QnC"
주철제관연결구류,비엠티
분리막,더블유씨피
밸브,"성광벤드, 태광, 하이록코리아"
기타기계류,제이엔케이히터
현미경,토모큐브
소주,하이트진로
스마트폰부품,재영솔루텍
기타산업기계부품,"GST, 유니셈, 지앤비에스 에코"
치과용기기및재료,"엘앤케이바이오, 덴티움, 디오, 메가젠임플란트, 오스템임플란트, 메타바이오메드"
승용차용타이어,"금호타이어, 넥센타이어"
아라미드사,"도레이첨단소재, 코오롱인더스트리"
알루미늄박,"율촌화학, DI동일, 동원시스템즈, 롯데케미칼, 삼아알미늄"
기타선박,"HD현대중공업, 대한조선, 삼성중공업, 케이조선, 한화오션"
은,덕산하이메탈
통신선,일진전기
체외진단용시약,프로티아
전자현미경,"코셈, 파크시스템스"
측정공구,코메론
기타의료위생용품,넥스트바이오메디컬
안료,씨큐브
반창고,티앤엘
무계목강관,"세아제강, 넥스틸, 아주베스틸"
철및비합금강용접강관(대),"EEW KHPC, EEW코리아, KBI동양철관, 휴스틸"
X선및방사선기기,"레이, 바텍"
프로필렌중합체필름,삼영
탄소섬유사,효성첨단소재
무기류부품,LIG넥스원
태양광모듈,현대에너지솔루션
기타개별소자반도체,"신성이엔지, 한화솔루션"
고무플라스틱가공기계,우진플라임
기타항공기부품,"아스트, 켄코아에어로스페이스, 하이즈항공"
